pmcid,doi,compound,metric,value,unit,holding_potentials_in_paper,status
PMC12504911,10.1111/cts.70378,flecainide,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,flecainide,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lamotrigine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,lidocaine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,mexiletine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,phenytoin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,quinidine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,ranolazine,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655.0,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,55.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,403.8,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,8.2,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,1869,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,136.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,55.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,27.7,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,87.6,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC12504911,10.1111/cts.70378,tetrodotoxin,IC 50,655,μM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,carbamazepine,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,carbamazepine,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lacosamide,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lacosamide,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lamotrigine,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lamotrigine,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lidocaine,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,lidocaine,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,pf-05089771,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,pf-05089771,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,riluzole,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,riluzole,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,saxitoxin,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,saxitoxin,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,tetrodotoxin,IC 50,0.08,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13000156,10.1038/s41467-026-69184-8,tetrodotoxin,IC 50,4.77,µM,,"CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
PMC13066279,10.3389/fphar.2026.1780526,flecainide,IC 50,43.3,µM,"-100, -80","CANDIDATE, unverified: compound-to-value pairing not established, needs a human"
