group,mechanism,chembl_id,chembl_pref_name,activities_with_pchembl,n_documents_in_sample,n_assays_in_sample,largest_assay_share,dominant_assay,trainable,reason
Kainate receptors,kainate receptor,CHEMBL3684,"Glutamate receptor ionotropic, kainate 3",34,9,10,0.235,Binding affinity towards cloned human GluR7 subunit stably expressed i,False,below the 800-activity bar
Monoamine storage,VMAT2 (SLC18A2),CHEMBL1893,Synaptic vesicular amine transporter,149,12,18,0.336,Determining human Vmat2 Inhibitory Activity of a Compound: The human K,False,below the 800-activity bar
NMDA channel site,NMDA receptor,CHEMBL2015,"Glutamate receptor ionotropic, NMDA 1",151,9,11,0.278,Displacement of [3H]-MDL105519 from GluN1 LBD (unknown origin) incubat,False,below the 800-activity bar
NMDA channel site,GluN1 subunit,CHEMBL2015,"Glutamate receptor ionotropic, NMDA 1",151,9,11,0.278,Displacement of [3H]-MDL105519 from GluN1 LBD (unknown origin) incubat,False,below the 800-activity bar
Nicotinic subtypes,alpha4beta2 nAChR,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,2069,68,99,0.11,Agonist activity at recombinant human alpha-4-beta-2 nAChR expressed i,True,
Nicotinic subtypes,alpha3beta4 nAChR,CHEMBL1907594,Neuronal acetylcholine receptor; alpha3/beta4,1297,61,95,0.16,Displacement of [3H]epibatidine from human alpha3beta4 nAChR expressed,True,
Nicotinic subtypes,alpha6 nAChR,CHEMBL4888445,Neuronal acetylcholine receptor subunit alpha-6/alpha-3,0,0,0,0.0,,False,below the 800-activity bar
Sodium subtypes,Nav1.6 (SCN8A),CHEMBL5202,Sodium channel protein type 8 subunit alpha,1995,38,50,0.394,Sodium Influx Assay (In Vitro Assay): This sodium influx assay employs,True,
Sodium subtypes,Nav1.8 (SCN10A),CHEMBL5451,Sodium channel protein type 10 subunit alpha,817,36,49,0.267,Biological Assay: The following buffers were used for the Qube® record,True,
Sodium subtypes,Nav1.2 (SCN2A),CHEMBL4187,Sodium channel protein type 2 subunit alpha,200,47,62,0.185,Inhibition of sodium channel blockade in CHO cells expressing neuronal,False,below the 800-activity bar
