name,smiles,bbb_status,MW,LogP,TPSA,source,split
metiapine,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1ccccc1S2,1,323.46,3.79,18.84,MoleculeNet_BBBP,train
methylprednisolone21hemisuccinate(methylprednisolone-hemisuccinate),CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,472.58,3.34,106.97,MoleculeNet_BBBP,train
methyldihydromorphine,CO[C@H]1CC[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,1,301.39,2.08,41.93,MoleculeNet_BBBP,train
methyldesorphine,CC1=CCC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,1,283.37,2.62,32.7,MoleculeNet_BBBP,train
methitural,CCCC(C)C1(CCSC)C(=O)NC(=S)NC1=O,1,288.44,1.69,58.2,MoleculeNet_BBBP,train
motrazepam,COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,1,325.32,2.38,85.04,MoleculeNet_BBBP,train
moxadolen,CNC(=O)O[C@H]1OC(=O)[C@@]2(C)[C@@H]1[C@H]1C=C[C@@H]2C1,1,237.25,1.05,64.63,MoleculeNet_BBBP,val
nitrafudam,N=C(N)c1ccc(-c2ccccc2[N+](=O)[O-])o1,1,231.21,2.14,106.15,MoleculeNet_BBBP,test
nisoxetine,CNCCC(Oc1ccccc1OC)c1ccccc1,1,271.36,3.42,30.49,MoleculeNet_BBBP,train
nisobamate,CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,1,274.36,2.27,90.65,MoleculeNet_BBBP,train
nimetazepam,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,1,295.3,2.41,75.81,MoleculeNet_BBBP,train
pipofezine,CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,1,297.36,2.1,44.73,MoleculeNet_BBBP,test
nicotinamide,NC(=O)c1cccnc1,1,122.13,0.18,55.98,MoleculeNet_BBBP,train
nicopholine,O=C(c1cccnc1)N1CCOCC1,1,192.22,0.55,42.43,MoleculeNet_BBBP,test
nicocortonide,C/C=C\C1O[C@]2(C(=O)COC(=O)c3ccncc3)CC[C@@]3(O1)[C@@H]1CCC4=CC(=O)CC[C@]4(C)[C@H]1[C@@H](O)C[C@]23C,1,535.64,4.12,112.02,MoleculeNet_BBBP,test
nialamide,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,1,298.35,1.02,83.12,MoleculeNet_BBBP,test
nomelidine,CNC/C=C(/c1ccc(Br)cc1)c1cccnc1,1,303.2,3.5,24.92,MoleculeNet_BBBP,train
neflumozide,O=c1[nH]c2ccccc2n1C1CCN(CCCc2noc3cc(F)ccc23)CC1,1,394.45,3.88,67.06,MoleculeNet_BBBP,test
nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.[Cl-].[H+],1,506.48,0.67,55.53,MoleculeNet_BBBP,test
naprodoxime,CC(Oc1cccc2ccccc12)/C(N)=N/O,1,230.27,2.35,67.84,MoleculeNet_BBBP,train
napamezole,C1=C(CC2=NCNC2)CCc2ccccc21,1,212.3,2.41,24.39,MoleculeNet_BBBP,test
napactadine,CN=C(Cc1ccc2ccccc2c1)[NH2+]C.[Cl-],1,248.76,-1.39,28.97,MoleculeNet_BBBP,train
nalmexone,CC(C)=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,355.43,2.08,70,MoleculeNet_BBBP,train
nalbuphine,Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314,1,357.45,1.71,73.16,MoleculeNet_BBBP,val
naflocort,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@H]4Cc5ccccc5C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F.O,1,482.59,3.11,106.1,MoleculeNet_BBBP,val
moxiraprine,CC1=CC(=C2C=CC(=O)C=C2)NN=C1NCCN1CCOCC1,1,314.39,0.72,65.96,MoleculeNet_BBBP,val
nefiracetam,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,1,246.31,1.86,49.41,MoleculeNet_BBBP,test
piquindone,CCc1c(C)[nH]c2c1C(=O)[C@@H]1CN(C)CC[C@H]1C2,1,246.35,2.19,36.1,MoleculeNet_BBBP,test
pivagabine,CC(C)(C)C(=O)NCCCC(=O)O,1,187.24,1.01,66.4,MoleculeNet_BBBP,train
pirandamine,CN(C)CCC1(C)OCCC2=C1c1ccccc1C2,1,257.38,3.13,12.47,MoleculeNet_BBBP,test
stacofylline,CCN(CC)C(=O)N1CCN(CCCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)CC1,1,419.53,-0.02,88.61,MoleculeNet_BBBP,test
spiroxepin,CN(C)CC1COC2(O1)c1ccccc1COc1ccccc12,1,311.38,2.76,30.93,MoleculeNet_BBBP,test
spirilene,C/C(=C/CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1,393.51,4.05,35.58,MoleculeNet_BBBP,test
spiramide,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,1,383.47,3.02,44.81,MoleculeNet_BBBP,test
spiperone,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1,395.48,3.22,52.65,MoleculeNet_BBBP,train
soretolide,Cc1cc(NC(=O)c2c(C)cccc2C)no1,1,230.27,2.85,55.13,MoleculeNet_BBBP,test
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,1,418.57,4.59,72.83,MoleculeNet_BBBP,train
sifaprazine,CN1CCN(c2ccccc2Cc2ccccc2)CC1,1,266.39,3.03,6.48,MoleculeNet_BBBP,train
sibutramine,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,1,279.86,4.74,3.24,MoleculeNet_BBBP,test
sibopirdine,O.c1cncc(CC2(Cc3ccncc3)c3cccnc3-c3ncccc32)c1,1,368.44,3.19,83.06,MoleculeNet_BBBP,test
setiptiline,CN1CCC2=C(C1)c1ccccc1Cc1ccccc12,1,261.37,3.84,3.24,MoleculeNet_BBBP,test
sertindole,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1,440.95,4.63,40.51,MoleculeNet_BBBP,test
semorphone,COCCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,345.4,0.76,79.23,MoleculeNet_BBBP,train
selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,1,187.29,2.18,3.24,MoleculeNet_BBBP,train
savoxepin,N#Cc1ccc2c(c1)C1=C(CCN(CC3CCCC3)CC1)c1ccccc1O2,1,370.5,5.86,36.26,MoleculeNet_BBBP,test
sameridine,CCCCCCN1CCC(C(=O)N(C)CC)(c2ccccc2)CC1,1,330.52,4.08,23.55,MoleculeNet_BBBP,train
salsalate(salsalic-acid),O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1,258.23,2.31,83.83,MoleculeNet_BBBP,train
salicylamide,NC(=O)c1ccccc1O,1,137.14,0.49,63.32,MoleculeNet_BBBP,train
salicin,OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,286.28,-1.64,119.61,MoleculeNet_BBBP,test
roxoperone,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,1,346.4,2.26,57.69,MoleculeNet_BBBP,test
suclofenide,NS(=O)(=O)c1ccc(N2C(=O)CC(c3ccccc3)C2=O)c(Cl)c1,1,364.81,2.03,97.54,MoleculeNet_BBBP,test
sulmepride,COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1C,1,327.41,0.17,101.73,MoleculeNet_BBBP,train
tepirindole,CCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,1,274.8,4.32,19.03,MoleculeNet_BBBP,test
tenilsetam,O=C1NCCNC1c1cccs1,1,182.25,0.51,41.13,MoleculeNet_BBBP,test
tazomeline,CCCCCCSc1nsnc1C1=CCCN(C)C1,1,297.49,3.93,29.02,MoleculeNet_BBBP,train
tasosartan,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,1,411.47,3.42,100.55,MoleculeNet_BBBP,test
tampramine,CN(C)CCCN1c2ccccc2C(c2ccccc2)=Nc2cccnc21,1,356.47,4.65,31.73,MoleculeNet_BBBP,test
tametraline,CNC1CCC(c2ccccc2)c2ccccc21,1,237.35,3.87,12.03,MoleculeNet_BBBP,train
tameridone,Cn1c(=O)c2c(ncn2CCN2CCC(c3c[nH]c4ccccc34)CC2)n(C)c1=O,1,406.49,1.79,80.85,MoleculeNet_BBBP,test
taltrimide,CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O,1,296.35,0.61,83.55,MoleculeNet_BBBP,test
talsupram,CNCCCC1(c2ccccc2)SC(C)(C)c2ccccc21,1,311.49,4.91,12.03,MoleculeNet_BBBP,test
taglutimide(biglumide),O=C1CCC(N2C(=O)C3C4CCC(C4)C3C2=O)C(=O)N1,1,276.29,-0.18,83.55,MoleculeNet_BBBP,test
suritozole,Cn1nc(-c2cccc(F)c2)n(C)c1=S,1,223.28,2.29,22.75,MoleculeNet_BBBP,test
sunepitron,O=C1CCC(=O)N1CC1CCC2CN(c3ncccn3)CCN2C1,1,329.4,0.53,69.64,MoleculeNet_BBBP,test
sumacetamol,CSCC[C@H](NC(C)=O)C(=O)Oc1ccc(NC(C)=O)cc1,1,324.4,1.81,84.5,MoleculeNet_BBBP,train
sultopride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,1,354.47,1.7,75.71,MoleculeNet_BBBP,train
sulthiame(sultiame),NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,1,290.37,0.26,97.54,MoleculeNet_BBBP,test
sulfonmethane,CCS(=O)(=O)C(C)(C)S(=O)(=O)CC,1,228.33,0.59,68.28,MoleculeNet_BBBP,train
romergoline,CN1C[C@H](CN2CC(=O)NC(=O)C2)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1,350.42,1,68.44,MoleculeNet_BBBP,test
rolipram,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,1,275.35,2.62,47.56,MoleculeNet_BBBP,test
rolicyprine,O=C1CCC(C(=O)NC2CC2c2ccccc2)N1,1,244.29,0.94,58.2,MoleculeNet_BBBP,test
propizepine,CC(CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C,1,296.37,2.74,48.47,MoleculeNet_BBBP,test
propanidid,[CH2-][CH-]C,1,42.08,1.04,0,MoleculeNet_BBBP,train
propacetamol,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,1,264.32,1.89,58.64,MoleculeNet_BBBP,train
promoxolane,CC(C)C1(C(C)C)OCC(CO)O1,1,188.27,1.4,38.69,MoleculeNet_BBBP,train
prolintane,CCCC(Cc1ccccc1)N1CCCC1,1,217.36,3.49,3.24,MoleculeNet_BBBP,train
progabide,NC(=O)CCCN/C(=C1\C=C(F)C=CC1=O)c1ccc(Cl)cc1,1,334.78,2.9,72.19,MoleculeNet_BBBP,train
proflazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(O)CO,1,362.79,2.02,73.13,MoleculeNet_BBBP,train
procymate,CCC(OC(N)=O)C1CCCCC1,1,185.27,2.44,52.32,MoleculeNet_BBBP,train
procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,1,221.3,1.05,53.16,MoleculeNet_BBBP,train
pridefine,CCN1CCC(=C(c2ccccc2)c2ccccc2)C1.[Cl-].[H+],1,299.85,1.33,3.24,MoleculeNet_BBBP,test
pregnenolone-succinate,CC(=O)C1CCC2C3CC=C4CC(OC(=O)CCC(=O)O)CCC4(C)C3CCC12C,1,416.56,4.93,80.67,MoleculeNet_BBBP,test
