endpoint,split,smiles,measured,probability,max_tanimoto_to_training
AChE,time,COc1cc2c(c(OC)c1)CC(NC(=O)OCc1ccccc1)C2,1.0,0.542,0.4462
AChE,time,C[n+]1cc(Br)ccc1/C=N/O,0.0,0.08314,0.5152
AChE,time,CC(C)COc1cccc(-c2ccc3nc4c(c(N)c3c2)CCCC4)c1,1.0,0.70324,0.4906
AChE,time,O=C(O)c1c(O)cccc1CCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1.0,0.9813,0.661
AChE,time,COc1cc(NC(=O)Cn2nc(-c3ccccc3)c(-c3ccccc3)nc2=O)cc(OC)c1OC,1.0,0.55182,0.3594
AChE,time,O=C1CC2CCc3ccsc3C2=NN1CCN1CCN(Cc2ccccc2)CC1,1.0,0.62288,0.3816
AChE,time,COc1ccc(CN2CCN(C(=O)/C=C/c3ccc(O)c(OC)c3)CC2)cc1,0.0,0.26816,0.7222
AChE,time,O=C(NCCCCCNc1c2c(nc3cc(Br)ccc13)CCCC2)Oc1ccc(-c2cc3cccnc3[nH]2)cc1,1.0,0.9577,0.4845
AChE,time,O=C1Cc2cc(OCc3ccc(F)cc3)ccc2C=C1C(=O)NCCc1c[nH]c2ccccc12,1.0,0.51865,0.4875
AChE,time,C=CCN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,1.0,0.58344,0.7344
AChE,time,O=c1c(NCCCCc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCc2c3c(nc4ccc(Cl)cc24)CCCC3)c1=O,1.0,0.89902,0.6364
AChE,time,Cc1ccc(S(=O)(=O)SCc2ccc(C(F)(F)F)cc2)cc1,1.0,0.39638,0.3
AChE,time,C#CCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12,1.0,0.61021,0.3766
AChE,time,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(c2)O/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1,1.0,0.92914,1.0
AChE,time,Cc1ccc2[nH]cc(CCNC(=O)Oc3cccc([C@H](C)N(C)C)c3)c2c1,1.0,0.58366,0.5085
AChE,time,Cc1ccc2[nH]cc(CCNC(=O)Oc3cccc(C(C)N(C)C)c3)c2c1,1.0,0.58366,0.5085
AChE,time,COc1ccc2c(c1)c1cnccc1n2CCC(=O)N1c2ccccc2Sc2ccccc21,1.0,0.41699,0.4407
AChE,time,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N)c(OC)c3)CC2)nc1-c1ccc(OC)cc1,1.0,0.5058,0.381
AChE,time,CC12CC3CC(C)(C1)CC(N)(C3)C2,1.0,0.21202,0.1765
AChE,time,Cc1ccc2nc3c(c(Nc4[nH]nc5ncccc45)c2c1)CCCC3,1.0,0.77567,0.5085
AChE,time,Cc1cc(=O)[nH]c2c1C(=O)C(NCCNc1c3c(nc4ccccc14)CCCC3)=CC2=O,1.0,0.89986,0.6508
AChE,time,O=[N+]([O-])c1ccc(NCCCCCCCCNc2ccnc3cc(C(F)(F)F)ccc23)cc1,1.0,0.74671,0.3472
AChE,time,CC(=O)O[C@@H]1C[C@@]2(C)Oc3cc(C)oc(=O)c3C[C@@H]2[C@@]2(C)C=CC(=O)C(C)(C)[C@H]12,0.0,0.37951,0.3095
AChE,time,O=C(COc1ccccc1C(F)(F)F)NCCN1CCN(Cc2ccccc2)CC1,1.0,0.54608,0.4154
AChE,time,COC(=O)c1c(CCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cccc1OC,1.0,0.98125,0.619
AChE,time,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3cccc(F)c3)CC1)C2,1.0,0.86751,0.7097
AChE,time,COc1cc2c(cc1OC)CC(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CC3C=C(C)CC4C3)CC1)C2,1.0,0.88231,0.6829
AChE,time,C[Si](C)(C)c1c([Si](C)(C)C)c(=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1=O,1.0,0.42703,0.2407
AChE,time,Cc1ccc(S(=O)(=O)SCc2ccc(Cl)cc2)cc1,1.0,0.33509,0.3784
AChE,time,CC(=O)n1c2c(c3ccccc31)Oc1nc(C)[nH]c(=O)c1C2c1cccc([N+](=O)[O-])c1,0.0,0.47181,0.3483
AChE,time,O=[N+]([O-])c1ccc2nc3c(c(Nc4[nH]nc5ncccc45)c2c1)CCCC3,1.0,0.79117,0.4375
AChE,time,CCC1C/C(=C\c2cc(OC)c(OC)c(OC)c2Br)C(=O)c2ccccc21,1.0,0.59672,0.3284
AChE,time,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CCN(Cc2ccc(F)c(F)c2)CC1,0.0,0.63425,0.4902
AChE,time,COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(O)CCN(C(C)=O)[C@@H]2N3)cc1,0.0,0.74901,0.5455
AChE,time,C[C@@H](c1cccc(OC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c1)N(C)C,1.0,0.95375,0.5904
AChE,time,COc1ccc(-c2cc(-c3ccc(Br)cc3)nc3[nH]nc(N)c23)cc1OC,1.0,0.55074,0.3056
AChE,time,Cc1ccc(C(C)C)cc1OCC(O)CNCc1cccnc1,1.0,0.4307,0.2667
AChE,time,CO[C@H]1C[C@H]2C(=C[C@@H]1OC(=O)c1ccccc1)[C@H]1CN2Cc2cc3c(cc21)OCO3,0.0,0.46451,0.4872
AChE,time,COc1cccc(CCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1,1.0,0.9407,0.7049
AChE,time,COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)Nc4ccc5ccccc5c4)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,1.0,0.56469,0.71
AChE,time,O=c1ccoc2ccc(OCCCCCN3CCOCC3)cc12,0.0,0.46181,0.5254
AChE,time,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C(C=O)=C[C@@](C)(COC(=O)c6ccc(F)cc6)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,0.0,0.41518,0.2143
AChE,time,Nc1c2c(nc3ccc(-c4cncnc4)cc13)CCCC2,1.0,0.6969,0.619
AChE,time,CN(Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1)Cc1ccco1,1.0,0.7794,0.7895
AChE,time,COc1ccc(-c2cc(-c3ccccc3)nc3[nH]nc(N)c23)cc1,0.0,0.36465,0.3265
AChE,time,CCCN(C)C(=O)Oc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCC(C)C)cc1,0.0,0.38425,0.5443
AChE,time,C[C@@H]1CC[C@]2(C(=O)NCc3ccc(Cl)cc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,0.0,0.43619,0.24
AChE,time,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1,1.0,0.70596,0.6667
AChE,time,Cc1ccc2nc3c(c(N4CCN(C)CC4)c2c1)CCCC3,1.0,0.58016,0.4792
AChE,time,COc1ccc(C2SCC(=O)N2CCCN(C)C)cc1,0.0,0.4102,0.4194
AChE,time,NC(=O)c1cc[n+](CCC[n+]2ccc(/C=N/O)c(F)c2)cc1,0.0,0.04934,0.7333
AChE,time,COC(=O)/C=C/C(=O)Nc1cccc(OCCCCSC(=S)N2CCCCC2)c1,1.0,0.5398,0.4795
AChE,time,FC(F)(F)c1ccc2c(NCCCCCCCCNc3ccccc3Cl)ccnc2c1,1.0,0.67385,0.3906
AChE,time,N#Cc1cccnc1N1CCN(c2cc(Oc3cccc4cccnc34)ncn2)CC1,1.0,0.46839,0.25
AChE,time,COc1cc(CN(C)CCc2ccc(O)cc2)c(-c2cccc3c2N(C)CC3)cc1OC,0.0,0.54509,0.3143
AChE,time,COc1ccc2cc([C@H](C)C(=O)N/N=C3\c4cc(OC)c(OC)cc4CC3CC3CCN(Cc4ccccc4)CC3)ccc2c1,1.0,0.65547,0.5526
AChE,time,COc1ccc(/C=C/C(=O)Nc2cc[n+](Cc3ccc(F)cc3)cc2)cc1OC,1.0,0.48602,0.5238
AChE,time,O=C(NC1CCN(Cc2ccccc2)CC1)c1cncc(NC(=O)c2ccnc3[nH]ccc23)c1,1.0,0.60673,0.4342
AChE,time,COc1cc(NC(=O)Cn2nc(-c3ccccc3)c(-c3ccccc3)nc2=O)cc(OC)c1,1.0,0.51762,0.3286
AChE,time,COc1ccccc1C(=O)CCC1CCN(CC2CCCCC2)CC1,1.0,0.89585,0.7358
AChE,time,O=C(NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)Oc1ccc(-c2cc3cccnc3[nH]2)cc1,1.0,0.97873,0.5824
AChE,time,O=c1[nH]c(CNCCC2CCN(Cc3ccccc3)CC2)nc2c1cnn2C1CCCC1,1.0,0.81786,0.4416
AChE,time,CCCCOc1cc(-c2nc(C)no2)ccc1N,1.0,0.38838,0.2424
AChE,time,CO[C@H]1C[C@H]2C(=C[C@@H]1OC(=O)c1ccc([N+](=O)[O-])cc1Cl)[C@H]1CN2Cc2cc3c(cc21)OCO3,0.0,0.48617,0.3238
AChE,time,CCCCCCCCCCCC1=C(O)C(=O)C=C(NCCC2CCN(Cc3ccccc3)CC2)C1=O,1.0,0.83928,0.4512
AChE,time,COC(=O)/C=C/c1ccc(OCCCCCN2CCN(CC(=O)Nc3c4c(nc5ccccc35)CCCC4)CC2)c(OC)c1,1.0,0.7734,0.5422
AChE,time,Cc1ccccc1N1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,0.0,0.56312,0.3662
AChE,time,COc1ccc2nc3c(c(NCCCCCNC(=S)N[C@]45CC6C[C@@H](C[C@@H](C6)C4)C5)c2c1)CCCC3,1.0,0.72914,1.0
AChE,time,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCC1CCN(Cc2ccc(F)c(F)c2)CC1,0.0,0.74469,0.5161
AChE,time,Nc1c2c(nc3c(Cl)cc(Cl)cc13)CCC2,0.0,0.69197,0.5897
AChE,time,COc1cc2c(cc1OC)C(=O)C(CC1(F)CCN(Cc3ccccc3F)CC1)C2,1.0,0.83955,0.7049
AChE,time,CC1=C(NC2CCN(Cc3ccccc3)CC2)C(=O)c2ccccc2C1=O,0.0,0.46732,0.4773
AChE,time,Cc1ccc(/C=N/NC(=O)Cn2c(=O)sc3ccccc32)s1,0.0,0.33274,0.3188
AChE,time,Fc1cccc(CNCCCCCCCCNc2ccnc3cc(Cl)ccc23)c1,1.0,0.75582,0.381
AChE,time,CNCCN1C(=O)CSC1c1ccc(Cl)cc1Cl,0.0,0.35982,0.3284
AChE,time,O=C(COc1ccc(Cl)cc1[N+](=O)[O-])NCCN1CCN(Cc2ccccc2)CC1,1.0,0.62397,0.4412
AChE,time,COc1cc2c(cc1O)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1.0,0.78186,0.8491
AChE,time,COc1ccc(C(=O)O[C@H]2C=C3[C@H]4CN(Cc5cc6c(cc54)OCO6)[C@H]3C[C@@H]2OC)cc1,0.0,0.47613,0.4048
AChE,time,CCCCCCCNC(=O)Oc1ccc(Cc2nc3cc(C(=O)N4CCCCC4)ccc3n2CCC(C)C)cc1,1.0,0.63114,0.5204
AChE,time,COc1ncc(-c2ccc3nc4c(c(N)c3c2)CCCC4)cn1,1.0,0.69468,0.5532
AChE,time,Cc1ccc(-c2noc(-c3cccc(OCC4CCN(Cc5ccccc5Cl)CC4)c3)n2)cn1,1.0,0.62863,0.3452
AChE,time,COc1cc(O)c2c(c1)C[C@@H]1c3c(cc4c(c3-2)OCO4)CC[N@+]1(C)[O-],0.0,0.36218,0.2899
AChE,time,COc1cc(O)c2c(c1)C[C@@H]1c3c(cc4c(c3-2)OCO4)CC[N@@+]1(C)[O-],0.0,0.36218,0.2899
AChE,time,FC(F)(F)c1ccc(-c2nnc(NC3CCN(Cc4ccccc4)CC3)o2)cc1,1.0,0.70434,0.5636
AChE,time,O=C(/C=C/c1ccccc1)c1ccccc1,0.0,0.19108,0.7778
AChE,time,Cc1ccc(-c2noc(-c3cccc(OCC4CCN(Cc5ccccc5F)CC4)c3)n2)cn1,1.0,0.63716,0.3452
AChE,time,COc1ncc(-c2ccc3nc4c(c(N)c3c2)CCCC4)c(OC)n1,1.0,0.6935,0.5
AChE,time,c1ccc(-c2nn(-c3ccccc3)cc2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccccc2)cc1,0.0,0.40717,0.25
AChE,time,COn1cc(CCNC(=S)NCCCCCNc2c3c(nc4ccccc24)CCCC3)c2ccccc21,1.0,0.98803,0.5645
AChE,time,COc1cc2c(cc1O)CC(CC1CCN(Cc3ccccc3)CC1)C2=O,1.0,0.8093,0.8491
AChE,time,CCOc1ccc(Cc2nc3cc(OC(=O)N(C)CC)ccc3n2CCC(C)C)cc1,0.0,0.3608,0.5065
AChE,time,COc1cccc(C(=O)O[C@H]2C=C3[C@H]4CN(Cc5cc6c(cc54)OCO6)[C@H]3C[C@@H]2OC)c1,0.0,0.47754,0.4086
AChE,time,COc1ccc2[nH]cc(CCNC(=O)Cn3cc(CCCCN4CC[C@@]56C=C[C@H](O)C[C@@H]5Oc5c(OC)ccc(c56)C4)nn3)c2c1,1.0,0.50597,0.51
AChE,time,Fc1ccc(NCCCCCCCCNc2ccnc3cc(C(F)(F)F)ccc23)cc1,1.0,0.73412,0.3594
AChE,time,CN(CCCOc1ccc([N+](=O)[O-])cc1)C(=O)c1cnc(CC(=O)c2ccc3c(c2)OCO3)nc1,1.0,0.5638,0.3291
AChE,time,CC1c2[nH]c3ccccc3c2CCN1C(=O)/C=C/c1ccc(O)c(O)c1,0.0,0.35872,0.3636
AChE,time,Cc1cc(=O)[nH]c2c1C(=O)C(NCNc1c3c(nc4ccccc14)CCCC3)=CC2=O,1.0,0.83279,0.5522
AChE,time,COc1ccc(NC(=O)C2CCN(Cc3ccccc3)CC2)cc1OC,1.0,0.6263,0.6333
AChE,time,O=C1CC2CCc3ccsc3C2=NN1CCCCN1CCN(Cc2ccccc2)CC1,1.0,0.68091,0.3718
AChE,time,COc1cc(O)cc2c1-c1c3c(cc4c1[C@@H](C2)N(C)CC4)OCO3,0.0,0.3301,0.4328
AChE,time,Cc1ccc(O)c(CNc2c(N)n(C)c(=O)n(C)c2=O)c1,1.0,0.38583,0.28
AChE,time,Nc1c2c(nc3c(Br)cc(Br)cc13)CCC2,0.0,0.68906,0.5238
AChE,time,Cc1ccc2nc3c(c(NCCN4CCN(C)CC4)c2c1)CCCC3,1.0,0.78598,0.6481
AChE,time,C#CCNc1ccccc1-c1cc(-c2ccc(OCCN3CCCCC3)cc2)nc(N)n1,0.0,0.5878,0.5538
AChE,time,CCN(C)C(=O)Oc1ccc(C(CCOc2ccc([N+](=O)[O-])cc2)NC)cc1,1.0,0.51898,0.8269
AChE,time,Cn1c2ccccc2c2cc[n+](-c3ccc(Br)cc3Br)cc21,1.0,0.38754,0.48
AChE,time,COc1ccc2[nH]c3c(c2c1)CN(Cc1ccccc1)CC3,0.0,0.24437,0.4909
AChE,time,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)c(F)c3)CC2)nc1-c1ccc(OC)c(OC)c1,1.0,0.48522,0.2947
AChE,time,C=C(C)CN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,1.0,0.58613,0.7344
AChE,time,COc1cccc(NC(=O)Nc2cccc(/C(N)=N/O)c2)c1,0.0,0.24928,0.4524
AChE,time,Fc1cccc(-c2cnc3cccnc3n2)c1,1.0,0.24609,0.2821
AChE,time,Fc1ccc(CNCCCCCCCCNc2ccnc3cc(Cl)ccc23)c(F)c1,1.0,0.7689,0.4127
AChE,time,CN(CCCOc1ccc([N+](=O)[O-])cc1)C(=O)c1cnc(CC(=O)c2cccs2)nc1,1.0,0.60657,0.3467
AChE,time,FC(F)(F)c1ccc(-c2nnc(CNC3CCN(Cc4ccccc4)C3)o2)cc1,1.0,0.68852,0.6727
AChE,time,COc1c(-c2ccc(O)cc2)cc2oc3cc(O)c(O)cc3c2c1O,0.0,0.40227,0.434
AChE,time,C[C@@H](c1cccc(OC(=O)NCCCCCNc2c3c(nc4cc(Br)ccc24)CCCC3)c1)N(C)C,1.0,0.94387,0.5
AChE,time,O=C1C(=O)N2CCc3cc4c(c5c3c2c1c1ccccc15)OCO4,0.0,0.30172,0.3455
AChE,time,COc1ccccc1C(=O)O[C@H]1C=C2[C@H]3CN(Cc4cc5c(cc43)OCO5)[C@H]2C[C@@H]1OC,0.0,0.44691,0.4066
AChE,time,CC(=O)Nc1nc(Cl)c2c(ncn2C2O[C@H](C(=O)O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)n1,0.0,0.44532,0.2
AChE,time,Cc1cc(=O)[nH]c2c1C(=O)C(NCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)=CC2=O,1.0,0.9656,0.6714
AChE,time,COc1cc2c(cc1OC)[C@@H]1[C@H](O)[C@@H](OC)[C@H](O)C3=CCN(C2=O)[C@H]31,0.0,0.40298,0.4444
AChE,time,C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,0.0,0.34297,0.2066
AChE,time,[2H]C([2H])([2H])Oc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CC2CCCCC2)CC1,1.0,0.97232,0.8727
AChE,time,CCN1/C(=C/C(C)=O)Sc2ccc(OC(=O)NCCc3ccccc3)cc21,0.0,0.69918,0.3494
AChE,time,N/C(=N\O)c1cccc(NC(=O)Nc2cccc([N+](=O)[O-])c2)c1,0.0,0.29076,0.4651
AChE,time,O=C(COc1ccccc1C(F)(F)F)NCC1CCN(Cc2ccccc2)CC1,1.0,0.71877,0.4746
AChE,time,Cc1ccc2[nH]c3ccncc3c2c1,0.0,0.27878,0.4872
AChE,time,O=C1c2c(sc3c2CCCCC3)OC(c2ccc(Cl)cc2)N1c1ccc(Cl)cc1,0.0,0.43918,0.2615
AChE,time,O=C(/C=C/c1ccc(O)cc1)n1ccc2cc(O)c(O)cc21,0.0,0.28876,0.3721
AChE,time,Nc1ccccc1C(=O)/C=C/c1ccc(Cl)nc1,0.0,0.22413,0.3191
AChE,time,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc(C(=O)CCC5CCN(Cc6ccccc6)CC5)cc4)CC3)c2c1,1.0,0.70963,0.4815
