Name,Chembl Id,Smiles,Nps,Antioxidant,Anti Inflammatory,Mitochondrial,Aggregation,Cognitive,Neurogenesis,Synaptic,Bbb,Source,Compound Type,Alzheimers,Parkinsons,Als,Huntingtons
Lutein,CHEMBL173929,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,58.6,43.94,70.0,60.0,50.0,60.0,40.0,40.0,Medium,Literature-Curated,Carotenoid / Xanthophyll,1,0,0,0
Lycopene,CHEMBL501174,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,58.6,32.73,60.0,70.0,60.0,50.0,40.0,40.0,Medium,Literature-Curated,Carotenoid,1,1,0,0
EGCG,CHEMBL2074945,COc1c(O)cc(C(=O)O[C@@H]2Cc3c(O)cc(O)cc3O[C@@H]2c2cc(O)c(OC)c(O)c2)cc1O,82.9,26.22,90.0,80.0,90.0,80.0,70.0,80.0,Medium,Literature-Curated,Catechin / Flavan-3-ol / Green Tea,1,1,1,1
Chlorogenic Acid,CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,67.1,19.31,80.0,70.0,60.0,70.0,50.0,60.0,Medium,Literature-Curated,Phenolic Acid,1,0,0,0
Vitamin D,CHEMBL1536,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,67.1,20.24,80.0,60.0,70.0,70.0,60.0,60.0,High,Literature-Curated,Vitamin / Secosteroid,1,1,1,1
Fisetin,CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,80.0,30.31,80.0,70.0,80.0,80.0,80.0,80.0,Medium,Literature-Curated,Flavonol / Senolytic,1,1,1,1
Pterostilbene,CHEMBL4303505,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,75.7,24.89,80.0,80.0,70.0,80.0,70.0,70.0,High,Literature-Curated,Stilbenoid / Resveratrol Analog,1,1,1,1
Bacopa Monnieri,CHEMBL5095437,,78.6,28.4,90.0,70.0,60.0,90.0,70.0,90.0,Medium,Literature-Curated,Adaptogenic Herb / Bacosides,1,1,0,0
Lion's Mane (Hericenone),CHEMBL448835,COc1cc2c(c(O)c1C/C=C(\C)CCC=C(C)C)C(=O)OC2,78.6,25.04,70.0,60.0,80.0,90.0,100.0,80.0,Medium,Literature-Curated,Functional Mushroom / Hericenones and Erinacines,1,1,1,0
Rhodiola,,,70.0,27.25,80.0,80.0,50.0,70.0,60.0,70.0,Medium,Literature-Curated,Adaptogenic Herb / Rosavins and Salidroside,1,0,1,0
Phosphatidylserine,CHEMBL3350680,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C/CCCCCCCC)COP(=O)(O)OC[C@H](Nc1ccc([N+](=O)[O-])c2nonc12)C(=O)O,65.7,38.57,70.0,70.0,60.0,80.0,50.0,70.0,High,Literature-Curated,Phospholipid,1,1,0,0
Uridine,CHEMBL5077459,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+].[Na+],68.6,22.22,60.0,80.0,70.0,70.0,70.0,80.0,High,Literature-Curated,Nucleoside,1,1,1,0
Taurine,CHEMBL239243,NCCS(=O)(=O)O,70.0,26.35,80.0,90.0,60.0,60.0,60.0,60.0,High,Literature-Curated,Amino Sulfonic Acid,1,1,1,1
Kaempferol,CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,70.0,29.93,80.0,60.0,70.0,70.0,60.0,70.0,Medium,Literature-Curated,Flavonol,1,1,0,0
Myricetin,CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,68.6,51.37,80.0,60.0,80.0,60.0,50.0,60.0,Low,Literature-Curated,Flavonol,1,1,0,0
Luteolin,CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,72.9,25.62,90.0,70.0,70.0,70.0,60.0,70.0,Medium,Literature-Curated,Flavone,1,1,1,0
Catechin,CHEMBL206452,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,65.7,31.43,70.0,60.0,70.0,60.0,60.0,60.0,Medium,Literature-Curated,Flavan-3-ol,1,1,0,0
Epicatechin,CHEMBL583912,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,71.4,32.36,70.0,70.0,60.0,70.0,70.0,80.0,Medium,Literature-Curated,Flavan-3-ol,1,1,0,0
Rutin,CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,60.0,26.51,70.0,60.0,60.0,60.0,50.0,50.0,Low,Literature-Curated,Flavonol Glycoside,0,0,0,0
Baicalein,CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,74.3,31.14,90.0,70.0,80.0,70.0,60.0,70.0,High,Literature-Curated,Flavone / Scutellaria baicalensis,1,1,1,0
Wogonin,CHEMBL16171,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,64.3,19.14,80.0,60.0,70.0,60.0,50.0,60.0,High,Literature-Curated,Flavone,1,1,0,0
Daidzein,CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,62.9,27.74,70.0,60.0,60.0,60.0,60.0,60.0,Medium,Literature-Curated,Isoflavone,1,0,0,0
Genistein,CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,67.1,26.69,80.0,60.0,70.0,70.0,60.0,60.0,Medium,Literature-Curated,Isoflavone,1,0,0,0
Cyanidin,CHEMBL404515,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,71.4,27.21,80.0,60.0,70.0,70.0,60.0,70.0,Low,Literature-Curated,Anthocyanin,1,1,0,0
Delphinidin,CHEMBL276780,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,67.1,22.69,80.0,60.0,70.0,60.0,50.0,60.0,Low,Literature-Curated,Anthocyanin,1,0,0,0
Nobiletin,CHEMBL76447,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,75.7,22.14,80.0,70.0,80.0,80.0,70.0,80.0,High,Literature-Curated,Polymethoxylated Flavone,1,1,1,0
Silymarin,CHEMBL5308485,COc1cc(C2Oc3ccc(C4Oc5cc(O)cc(O)c5C(=O)C4O)cc3OC2CO)ccc1O,70.0,33.42,80.0,70.0,70.0,60.0,60.0,60.0,Low,Literature-Curated,Flavonolignan / Milk Thistle,1,1,0,0
Galangin,CHEMBL309490,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,62.9,29.86,70.0,60.0,70.0,60.0,50.0,60.0,Medium,Literature-Curated,Flavonol,1,0,0,0
Taxifolin,CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,68.6,24.27,80.0,70.0,70.0,60.0,50.0,60.0,Low,Literature-Curated,Dihydroflavonol,1,0,0,0
Isorhamnetin,CHEMBL379064,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,61.4,57.71,70.0,60.0,60.0,60.0,50.0,50.0,Low,Literature-Curated,Flavonol,0,0,0,0
Phloretin,CHEMBL45068,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,58.6,21.37,70.0,60.0,60.0,50.0,50.0,50.0,Low,Literature-Curated,Dihydrochalcone,0,0,0,0
Eriodictyol,CHEMBL8996,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,64.3,28.14,80.0,60.0,60.0,60.0,50.0,60.0,Low,Literature-Curated,Flavanone,1,0,0,0
Xanthohumol,CHEMBL253896,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,60.0,34.38,70.0,60.0,60.0,50.0,50.0,50.0,Low,Literature-Curated,Chalcone / Hops,0,0,0,0
Magnesium L-Threonate,CHEMBL6068557,C[C@H](O)C(=O)[O-].C[C@H](O)C(=O)[O-].O.O.[Mg+2],74.3,29.01,70.0,70.0,60.0,90.0,70.0,100.0,High,Literature-Curated,Mineral Supplement,1,1,1,1
Zinc,CHEMBL3988900,[O-2].[Zn+2],60.0,26.92,60.0,60.0,60.0,60.0,50.0,60.0,Medium,Literature-Curated,Mineral Supplement,1,0,0,0
Selenium,CHEMBL1200680,S=[Se]=S,62.9,25.97,70.0,70.0,60.0,60.0,50.0,50.0,High,Literature-Curated,Trace Mineral,1,0,1,0
Melatonin,CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,74.3,31.54,80.0,80.0,70.0,70.0,70.0,60.0,High,Literature-Curated,Neurohormone / Pineal Indolamine,1,1,1,1
L-Theanine,CHEMBL4303298,CCNC(=O)CCC(N)C(=O)O,65.7,27.98,70.0,60.0,50.0,80.0,60.0,80.0,High,Literature-Curated,Non-Protein Amino Acid / Green Tea,1,0,0,0
PQQ,CHEMBL1235421,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2,80.0,32.86,70.0,100.0,70.0,80.0,80.0,70.0,High,Literature-Curated,Redox Cofactor / Pyrroloquinoline Quinone,1,1,1,1
Berberine,CHEMBL295124,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,68.6,29.18,80.0,70.0,80.0,70.0,50.0,60.0,Low,Literature-Curated,Isoquinoline Alkaloid / Berberis species,1,1,0,0
Astaxanthin,CHEMBL1255871,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O,72.9,38.4,80.0,70.0,60.0,70.0,60.0,70.0,High,Literature-Curated,Keto-Carotenoid,1,1,1,1
Spermidine,CHEMBL448065,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)NCCCCC(=O)N(CCCN)CCCCN)C(CCC(=O)NCCCCC(=O)N(CCCN)CCCCN)=C4C)c(C)c3C=C,77.1,35.69,70.0,80.0,90.0,80.0,70.0,80.0,High,Literature-Curated,Polyamine,1,1,1,1
L-Carnitine,CHEMBL1697733,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,64.3,28.07,60.0,90.0,60.0,70.0,50.0,60.0,Medium,Literature-Curated,Amino Acid Derivative / Fatty Acid Transporter,1,1,1,1
Acetyl-L-Carnitine,CHEMBL1697733,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,72.9,28.67,70.0,90.0,60.0,90.0,60.0,70.0,High,Literature-Curated,Amino Acid Derivative / ALCAR,1,1,1,1
Lithium Orotate,CHEMBL3707282,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.[Mg+2],68.6,33.0,70.0,60.0,80.0,70.0,80.0,70.0,High,Literature-Curated,Mineral Salt / Trace Lithium,1,1,0,1
Vinpocetine,CHEMBL71752,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,65.7,20.71,70.0,70.0,60.0,80.0,50.0,70.0,High,Literature-Curated,Alkaloid Derivative / Vinca minor,1,0,0,0
Phosphatidylcholine,CHEMBL503481,CCCCCCCCCCCCCCSCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CSCCCCCCCCCCCCCC,60.0,24.76,60.0,70.0,50.0,70.0,50.0,70.0,Medium,Literature-Curated,Phospholipid / Membrane Component,1,0,0,0
Glycine,CHEMBL773,NCC(=O)O,62.9,27.18,70.0,70.0,60.0,60.0,50.0,70.0,High,Literature-Curated,Amino Acid / Inhibitory Neurotransmitter Precursor,1,0,1,0
Citicoline (CDP-Choline),CHEMBL1231700,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,71.4,26.26,70.0,80.0,60.0,90.0,60.0,80.0,High,Literature-Curated,Nucleotide / Cholinergic Nootropic,1,1,0,0
Alpha-GPC,CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,67.1,59.99,60.0,70.0,60.0,90.0,60.0,80.0,High,Literature-Curated,Cholinergic Supplement / Phospholipid Precursor,1,1,0,0
Huperzine A,CHEMBL394259,C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,72.9,39.24,70.0,60.0,70.0,90.0,70.0,80.0,High,Literature-Curated,Lycopodium Alkaloid / AChE Inhibitor,1,1,0,0
Piperine,CHEMBL3889591,CCCN(CC)C(=O)/C=C/C=C/c1ccc2c(c1)OCO2,68.6,28.57,80.0,60.0,70.0,70.0,60.0,70.0,High,Literature-Curated,Alkaloid / Black Pepper,1,1,0,0
Saffron (Crocin),CHEMBL450567,CC(/C=C/C=C(\C)C(=O)O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,77.1,39.67,80.0,70.0,80.0,80.0,70.0,80.0,High,Literature-Curated,Carotenoid Glycoside / Crocus sativus,1,1,0,0
Beta-Hydroxybutyrate (BHB),,,74.3,31.22,80.0,90.0,70.0,80.0,60.0,70.0,High,Literature-Curated,Ketone Body / Metabolic Fuel,1,1,1,1
Gotu Kola (Centella),CHEMBL5095437,,77.1,31.06,80.0,70.0,70.0,80.0,80.0,80.0,High,Literature-Curated,Adaptogenic Herb / Triterpenoids,1,1,0,0
Carnosine,CHEMBL242948,NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,68.6,28.71,70.0,70.0,80.0,70.0,50.0,60.0,High,Literature-Curated,Dipeptide / Anti-Glycation Agent,1,0,1,0
SAMe (S-Adenosylmethionine),,,64.3,22.86,70.0,70.0,60.0,70.0,60.0,60.0,High,Literature-Curated,Methyl Donor / Endogenous Metabolite,1,1,0,0
Honokiol,CHEMBL16901,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,74.3,22.07,90.0,70.0,80.0,70.0,60.0,70.0,High,Literature-Curated,Neolignan / Magnolia Bark,1,1,0,0
Spermine,CHEMBL503923,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)NCCCCC(=O)N(CCCN)CCCCNCCCN)C(CCC(=O)NCCCCC(=O)N(CCCN)CCCCNCCCN)=C4C)c(C)c3C=C,72.9,39.78,70.0,80.0,80.0,70.0,70.0,70.0,High,Literature-Curated,Polyamine / Endogenous,1,1,1,1
Pantothenate (Vitamin B5),CHEMBL1901349,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2],60.0,37.29,60.0,90.0,50.0,60.0,50.0,50.0,High,Literature-Curated,Vitamin B5 / CoA Precursor,0,0,1,0
Cystine,CHEMBL590540,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,54.3,38.2,60.0,60.0,50.0,50.0,40.0,40.0,Medium,Literature-Curated,Amino Acid Dimer / GSH Precursor,0,0,1,0
Pyridoxine (Vitamin B6),CHEMBL1364,Cc1ncc(CO)c(CO)c1O,64.3,26.43,70.0,70.0,50.0,70.0,50.0,70.0,High,Literature-Curated,Vitamin B6,1,1,1,0
Folate (Vitamin B9),CHEMBL396294,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)NO)C(=O)O)cc3)nc2c(=O)[nH]1,60.0,31.24,70.0,60.0,50.0,70.0,60.0,50.0,High,Literature-Curated,Vitamin B9 / One-Carbon Donor,1,1,1,0
Glutathione (GSH),CHEMBL1543,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,71.4,33.43,80.0,80.0,70.0,60.0,50.0,60.0,Low,Literature-Curated,Endogenous Tripeptide Antioxidant,1,1,1,1
L-Tyrosine,CHEMBL4228964,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,52.9,27.69,50.0,50.0,40.0,70.0,50.0,60.0,High,Literature-Curated,Essential Amino Acid / Catecholamine Precursor,0,1,0,1
L-Tryptophan,CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,57.1,26.43,60.0,50.0,40.0,70.0,60.0,60.0,High,Literature-Curated,Essential Amino Acid / Serotonin Precursor,1,0,0,0
5-HTP,CHEMBL381557,NCCC[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccc(O)cc12)C(=O)N1CCC[C@H]1C(=O)O,52.9,36.66,60.0,50.0,40.0,60.0,50.0,60.0,High,Literature-Curated,Serotonin Precursor / Amino Acid Derivative,1,0,0,0
L-Glutamine,CHEMBL3707366,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,55.7,26.0,60.0,70.0,40.0,60.0,50.0,50.0,High,Literature-Curated,Amino Acid / Glutamate Precursor,0,0,1,0
L-Arginine,CHEMBL212301,N=C(N)NCCC[C@@H](N)C(=O)O,55.7,36.74,60.0,60.0,40.0,60.0,50.0,60.0,Medium,Literature-Curated,Semi-Essential Amino Acid / NO Precursor,0,0,0,0
L-Methionine,CHEMBL42336,CSCC[C@H](N)C(=O)O,52.9,37.81,50.0,60.0,50.0,50.0,50.0,50.0,High,Literature-Curated,Essential Amino Acid / Methyl Donor Precursor,0,0,0,0
Inositol,CHEMBL1094982,O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H]1OC(=O)c1cccnc1)c1cccnc1,57.1,29.76,60.0,60.0,50.0,60.0,50.0,70.0,Medium,Literature-Curated,Sugar Alcohol / Phosphoinositide Precursor,1,0,0,0
GABA,CHEMBL1513232,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCCC(=O)O,54.3,37.28,60.0,50.0,40.0,60.0,50.0,70.0,Low,Literature-Curated,Inhibitory Neurotransmitter / Amino Acid,0,0,0,0
Idebenone,CHEMBL252556,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,71.4,27.74,70.0,90.0,70.0,70.0,50.0,60.0,High,Literature-Curated,Synthetic CoQ10 Analog / Benzoquinone,1,1,1,1
Ubiquinol,CHEMBL5272956,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC,71.4,31.27,70.0,100.0,70.0,60.0,50.0,60.0,Medium,Literature-Curated,Reduced CoQ10 / Mitochondrial Antioxidant,1,1,1,1
Memantine,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,61.4,29.21,70.0,60.0,70.0,70.0,50.0,60.0,High,Literature-Curated,NMDA Receptor Antagonist Drug (FDA-approved AD),1,1,0,1
Galantamine,CHEMBL1555,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,70.0,38.15,70.0,60.0,70.0,90.0,60.0,80.0,High,Literature-Curated,AChE Inhibitor Drug (FDA-approved AD) / Amaryllidaceae,1,1,0,0
Ursolic Acid,CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,68.6,21.43,80.0,70.0,70.0,60.0,60.0,60.0,Medium,Literature-Curated,Pentacyclic Triterpenoid / Phytochemical,1,1,0,0
Caffeine,CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,64.3,32.18,60.0,60.0,70.0,80.0,50.0,70.0,High,Literature-Curated,Methylxanthine Alkaloid / Adenosine Antagonist,1,1,0,0
Oleocanthal,CHEMBL2172394,C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCCc1ccc(O)cc1,72.9,25.49,90.0,60.0,80.0,70.0,60.0,70.0,High,Literature-Curated,Phenolic Aldehyde / Extra Virgin Olive Oil,1,1,0,0
Palmitoylethanolamide (PEA),CHEMBL417675,CCCCCCCCCCCCCCCC(=O)NCCO,67.1,25.16,90.0,60.0,60.0,70.0,60.0,70.0,High,Literature-Curated,Endogenous Fatty Acid Amide / Lipid Mediator,1,1,1,0
Biotin (Vitamin B7),CHEMBL857,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,50.0,47.88,50.0,70.0,40.0,50.0,40.0,50.0,High,Literature-Curated,Vitamin B7 / Enzyme Cofactor,0,0,0,0
