endpoint,source_file,rows,measure,active,inactive,rows_sharing_a_parent_inchikey
HT6,data/endpoints/HT6.csv,3961,label (1 active / 0 inactive) + pchembl potency,3748.0,213.0,18.0
HT7,data/endpoints/HT7.csv,2731,label (1 active / 0 inactive) + pchembl potency,2431.0,300.0,10.0
KEAP1,data/endpoints/KEAP1.csv,387,label (1 active / 0 inactive) + pchembl potency,216.0,171.0,0.0
LRRK2,data/endpoints/LRRK2.csv,1569,label (1 active / 0 inactive) + pchembl potency,1459.0,110.0,1.0
MAO_A,data/endpoints/MAO_A.csv,3789,label (1 active / 0 inactive) + pchembl potency,903.0,2886.0,0.0
MAO_B,data/endpoints/MAO_B.csv,4806,label (1 active / 0 inactive) + pchembl potency,2425.0,2381.0,0.0
mGluR5,data/endpoints/mGluR5.csv,2901,label (1 active / 0 inactive) + pchembl potency,2374.0,527.0,1.0
MT1,data/endpoints/MT1.csv,1020,label (1 active / 0 inactive) + pchembl potency,939.0,81.0,0.0
mTOR,data/endpoints/mTOR.csv,5221,label (1 active / 0 inactive) + pchembl potency,4107.0,1114.0,1.0
Nav1_1,data/endpoints/Nav1_1.csv,519,label (1 active / 0 inactive) + pchembl potency,65.0,454.0,0.0
Nav1_5,data/endpoints/Nav1_5.csv,1983,label (1 active / 0 inactive) + pchembl potency,242.0,1741.0,0.0
Nav1_6,data/endpoints/Nav1_6.csv,785,label (1 active / 0 inactive) + pchembl potency,681.0,104.0,0.0
Nav1_7,data/endpoints/Nav1_7.csv,6152,label (1 active / 0 inactive) + pchembl potency,5415.0,737.0,1.0
Nav1_8,data/endpoints/Nav1_8.csv,567,label (1 active / 0 inactive) + pchembl potency,501.0,66.0,0.0
NET,data/endpoints/NET.csv,3279,label (1 active / 0 inactive) + pchembl potency,2765.0,514.0,36.0
NLRP3,data/endpoints/NLRP3.csv,660,label (1 active / 0 inactive) + pchembl potency,428.0,232.0,0.0
OPRK1,data/endpoints/OPRK1.csv,5808,label (1 active / 0 inactive) + pchembl potency,4810.0,998.0,47.0
OPRM1,data/endpoints/OPRM1.csv,7033,label (1 active / 0 inactive) + pchembl potency,5690.0,1343.0,53.0
OX1.chembl_only,data/endpoints/OX1.chembl_only.csv,5235,label (1 active / 0 inactive) + pchembl potency,5154.0,81.0,5.0
OX1,data/endpoints/OX1.csv,5730,label (1 active / 0 inactive) + pchembl potency,5154.0,576.0,5.0
OX2.chembl_only,data/endpoints/OX2.chembl_only.csv,6227,label (1 active / 0 inactive) + pchembl potency,6207.0,20.0,0.0
OX2,data/endpoints/OX2.csv,6894,label (1 active / 0 inactive) + pchembl potency,6207.0,687.0,0.0
P2X7,data/endpoints/P2X7.csv,4525,label (1 active / 0 inactive) + pchembl potency,4355.0,170.0,3.0
PDE10A,data/endpoints/PDE10A.csv,5291,label (1 active / 0 inactive) + pchembl potency,5048.0,243.0,4.0
PDE4B,data/endpoints/PDE4B.csv,2044,label (1 active / 0 inactive) + pchembl potency,1712.0,332.0,0.0
RIPK1,data/endpoints/RIPK1.csv,3250,label (1 active / 0 inactive) + pchembl potency,2348.0,902.0,1.0
SERT,data/endpoints/SERT.csv,4924,label (1 active / 0 inactive) + pchembl potency,4362.0,562.0,0.0
Sigma1,data/endpoints/Sigma1.csv,2883,label (1 active / 0 inactive) + pchembl potency,2771.0,112.0,22.0
SIRT1,data/endpoints/SIRT1.csv,706,label (1 active / 0 inactive) + pchembl potency,162.0,544.0,9.0
TAAR1,data/endpoints/TAAR1.csv,403,label (1 active / 0 inactive) + pchembl potency,238.0,165.0,0.0
antioxidant_dpph,data/endpoints_reg/antioxidant_dpph.csv,2861,continuous (y),,,
pka_all,data/endpoints_reg/pka_all.csv,9303,continuous (pka),,,
pka_basic,data/endpoints_reg/pka_basic.csv,6329,continuous (pka),,,
adme_caco2_permeability,data/adme/caco2_permeability.csv,897,continuous or binary (y),,,
adme_clearance_hepatocyte,data/adme/clearance_hepatocyte.csv,1020,continuous or binary (y),,,
adme_kpuu,data/adme/kpuu.csv,566,continuous or binary (y),,,
adme_lipophilicity,data/adme/lipophilicity.csv,4200,continuous or binary (y),,,
adme_logbb,data/adme/logbb.csv,1058,continuous or binary (y),,,
adme_pgp_inhibition,data/adme/pgp_inhibition.csv,1212,continuous or binary (y),,,
adme_pgp_substrate,data/adme/pgp_substrate.csv,1371,continuous or binary (label),,,
adme_plasma_protein_binding,data/adme/plasma_protein_binding.csv,1797,continuous or binary (y),,,
adme_solubility,data/adme/solubility.csv,9573,continuous or binary (y),,,
