# WHAT THIS FILE CONTAINS: All 1036 model inputs in the exact order the estimator receives them: 1024 ECFP-4 fingerprint bits followed by 12 named physicochemical descriptors.
# WHAT IT IS USED FOR: Reading the feature matrix, and confirming that every endpoint shares one fixed representation.
# GENERATED FROM: src/brainsafe/features/featurize.py
position,feature,block,type,meaning
25,ecfp4_24,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
26,ecfp4_25,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
27,ecfp4_26,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
28,ecfp4_27,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
29,ecfp4_28,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
30,ecfp4_29,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
31,ecfp4_30,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
32,ecfp4_31,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
33,ecfp4_32,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
34,ecfp4_33,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
35,ecfp4_34,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
36,ecfp4_35,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
37,ecfp4_36,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
38,ecfp4_37,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
39,ecfp4_38,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
40,ecfp4_39,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
41,ecfp4_40,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
42,ecfp4_41,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
43,ecfp4_42,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
44,ecfp4_43,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
45,ecfp4_44,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
46,ecfp4_45,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
47,ecfp4_46,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
48,ecfp4_47,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
49,ecfp4_48,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
50,ecfp4_49,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
51,ecfp4_50,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
52,ecfp4_51,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
53,ecfp4_52,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
54,ecfp4_53,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
55,ecfp4_54,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
56,ecfp4_55,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
57,ecfp4_56,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
58,ecfp4_57,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
59,ecfp4_58,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
60,ecfp4_59,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
61,ecfp4_60,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
62,ecfp4_61,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
63,ecfp4_62,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
64,ecfp4_63,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
65,ecfp4_64,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
66,ecfp4_65,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
67,ecfp4_66,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
68,ecfp4_67,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
69,ecfp4_68,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
70,ecfp4_69,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
71,ecfp4_70,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
72,ecfp4_71,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
73,ecfp4_72,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
74,ecfp4_73,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
75,ecfp4_74,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
76,ecfp4_75,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
77,ecfp4_76,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
78,ecfp4_77,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
79,ecfp4_78,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
80,ecfp4_79,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
81,ecfp4_80,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
82,ecfp4_81,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
83,ecfp4_82,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
84,ecfp4_83,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
85,ecfp4_84,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
86,ecfp4_85,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
87,ecfp4_86,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
88,ecfp4_87,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
89,ecfp4_88,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
90,ecfp4_89,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
91,ecfp4_90,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
92,ecfp4_91,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
93,ecfp4_92,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
94,ecfp4_93,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
95,ecfp4_94,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
96,ecfp4_95,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
97,ecfp4_96,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
98,ecfp4_97,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
99,ecfp4_98,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
100,ecfp4_99,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
101,ecfp4_100,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
102,ecfp4_101,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
103,ecfp4_102,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
104,ecfp4_103,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
105,ecfp4_104,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
106,ecfp4_105,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
107,ecfp4_106,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
108,ecfp4_107,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
109,ecfp4_108,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
110,ecfp4_109,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
111,ecfp4_110,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
112,ecfp4_111,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
113,ecfp4_112,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
114,ecfp4_113,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
115,ecfp4_114,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
116,ecfp4_115,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
117,ecfp4_116,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
118,ecfp4_117,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
119,ecfp4_118,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
120,ecfp4_119,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
121,ecfp4_120,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
122,ecfp4_121,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
123,ecfp4_122,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
124,ecfp4_123,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
125,ecfp4_124,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
126,ecfp4_125,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
127,ecfp4_126,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
128,ecfp4_127,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
129,ecfp4_128,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
130,ecfp4_129,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
131,ecfp4_130,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
132,ecfp4_131,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
133,ecfp4_132,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
134,ecfp4_133,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
135,ecfp4_134,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
136,ecfp4_135,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
137,ecfp4_136,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
138,ecfp4_137,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
139,ecfp4_138,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
140,ecfp4_139,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
141,ecfp4_140,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
142,ecfp4_141,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
143,ecfp4_142,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
144,ecfp4_143,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
145,ecfp4_144,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
146,ecfp4_145,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
147,ecfp4_146,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
148,ecfp4_147,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
149,ecfp4_148,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
150,ecfp4_149,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
151,ecfp4_150,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
152,ecfp4_151,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
153,ecfp4_152,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
154,ecfp4_153,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
155,ecfp4_154,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
156,ecfp4_155,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
157,ecfp4_156,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
158,ecfp4_157,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
159,ecfp4_158,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
160,ecfp4_159,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
161,ecfp4_160,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
162,ecfp4_161,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
163,ecfp4_162,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
164,ecfp4_163,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
165,ecfp4_164,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
166,ecfp4_165,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
167,ecfp4_166,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
168,ecfp4_167,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
169,ecfp4_168,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
170,ecfp4_169,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
171,ecfp4_170,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
172,ecfp4_171,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
173,ecfp4_172,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
174,ecfp4_173,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
175,ecfp4_174,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
176,ecfp4_175,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
177,ecfp4_176,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
178,ecfp4_177,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
179,ecfp4_178,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
180,ecfp4_179,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
181,ecfp4_180,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
182,ecfp4_181,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
183,ecfp4_182,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
184,ecfp4_183,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
185,ecfp4_184,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
186,ecfp4_185,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
187,ecfp4_186,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
188,ecfp4_187,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
189,ecfp4_188,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
190,ecfp4_189,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
191,ecfp4_190,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
192,ecfp4_191,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
193,ecfp4_192,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
194,ecfp4_193,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
195,ecfp4_194,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
196,ecfp4_195,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
197,ecfp4_196,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
198,ecfp4_197,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
199,ecfp4_198,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
200,ecfp4_199,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
201,ecfp4_200,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
202,ecfp4_201,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
203,ecfp4_202,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
204,ecfp4_203,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
205,ecfp4_204,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
206,ecfp4_205,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
207,ecfp4_206,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
208,ecfp4_207,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
209,ecfp4_208,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
210,ecfp4_209,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
211,ecfp4_210,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
212,ecfp4_211,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
213,ecfp4_212,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
214,ecfp4_213,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
215,ecfp4_214,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
216,ecfp4_215,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
217,ecfp4_216,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
218,ecfp4_217,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
219,ecfp4_218,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
220,ecfp4_219,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
221,ecfp4_220,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
222,ecfp4_221,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
223,ecfp4_222,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
224,ecfp4_223,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
225,ecfp4_224,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
226,ecfp4_225,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
227,ecfp4_226,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
228,ecfp4_227,ECFP-4 fingerprint bit,"binary, 0 or 1","presence of a circular substructure of radius 2, hashed to this bit"
