index,feature,block,type,description,unit
68,ecfp4_68,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
69,ecfp4_69,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
70,ecfp4_70,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
71,ecfp4_71,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
72,ecfp4_72,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
73,ecfp4_73,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
74,ecfp4_74,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
75,ecfp4_75,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
76,ecfp4_76,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
77,ecfp4_77,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
78,ecfp4_78,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
79,ecfp4_79,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
80,ecfp4_80,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
81,ecfp4_81,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
82,ecfp4_82,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
83,ecfp4_83,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
84,ecfp4_84,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
85,ecfp4_85,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
86,ecfp4_86,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
87,ecfp4_87,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
88,ecfp4_88,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
89,ecfp4_89,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
90,ecfp4_90,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
91,ecfp4_91,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
92,ecfp4_92,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
93,ecfp4_93,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
94,ecfp4_94,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
95,ecfp4_95,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
96,ecfp4_96,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
97,ecfp4_97,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
98,ecfp4_98,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
99,ecfp4_99,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
100,ecfp4_100,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
101,ecfp4_101,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
102,ecfp4_102,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
103,ecfp4_103,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
104,ecfp4_104,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
105,ecfp4_105,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
106,ecfp4_106,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
107,ecfp4_107,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
108,ecfp4_108,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
109,ecfp4_109,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
110,ecfp4_110,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
111,ecfp4_111,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
112,ecfp4_112,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
113,ecfp4_113,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
114,ecfp4_114,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
115,ecfp4_115,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
116,ecfp4_116,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
117,ecfp4_117,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
118,ecfp4_118,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
119,ecfp4_119,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
120,ecfp4_120,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
121,ecfp4_121,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
122,ecfp4_122,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
123,ecfp4_123,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
124,ecfp4_124,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
125,ecfp4_125,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
126,ecfp4_126,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
127,ecfp4_127,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
128,ecfp4_128,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
129,ecfp4_129,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
130,ecfp4_130,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
131,ecfp4_131,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
132,ecfp4_132,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
133,ecfp4_133,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
134,ecfp4_134,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
135,ecfp4_135,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
136,ecfp4_136,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
137,ecfp4_137,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
138,ecfp4_138,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
139,ecfp4_139,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
140,ecfp4_140,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
141,ecfp4_141,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
142,ecfp4_142,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
143,ecfp4_143,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
144,ecfp4_144,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
145,ecfp4_145,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
146,ecfp4_146,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
147,ecfp4_147,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
148,ecfp4_148,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
149,ecfp4_149,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
150,ecfp4_150,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
151,ecfp4_151,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
152,ecfp4_152,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
153,ecfp4_153,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
154,ecfp4_154,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
155,ecfp4_155,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
156,ecfp4_156,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
157,ecfp4_157,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
158,ecfp4_158,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
159,ecfp4_159,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
160,ecfp4_160,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
161,ecfp4_161,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
162,ecfp4_162,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
163,ecfp4_163,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
164,ecfp4_164,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
165,ecfp4_165,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
166,ecfp4_166,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
167,ecfp4_167,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
168,ecfp4_168,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
169,ecfp4_169,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
170,ecfp4_170,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
171,ecfp4_171,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
172,ecfp4_172,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
173,ecfp4_173,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
174,ecfp4_174,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
175,ecfp4_175,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
176,ecfp4_176,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
177,ecfp4_177,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
178,ecfp4_178,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
179,ecfp4_179,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
180,ecfp4_180,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
181,ecfp4_181,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
182,ecfp4_182,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
183,ecfp4_183,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
184,ecfp4_184,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
185,ecfp4_185,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
